task_id,level
19bb5feb,easy
33b52de3,easy
ba9d41b8,easy
b15fca0b,easy
45737921,easy
5b526a93,easy
ca8f78db,easy
0a1d4ef5,easy
81c0276b,easy
1e97544e,easy
5a5a2103,easy
5783df64,easy
f45f5ca7,easy
3979b1a8,easy
05a7bcf2,easy
692cd3b6,easy
8cb8642d,easy
aa300dc3,easy
d4c90558,easy
bf699163,easy
292dd178,easy
9110e3c5,easy
705a3229,easy
1990f7a8,easy
332efdb3,easy
4f537728,easy
67636eac,easy
00dbd492,easy
67c52801,easy
1da012fc,easy
575b1a71,easy
66e6c45b,easy
fafd9572,easy
ea959feb,easy
cd3c21df,easy
8597cfd7,easy
3194b014,easy
2546ccf6,easy
45bbe264,easy
da2b0fe3,easy
e1baa8a4,easy
833dafe3,easy
4cd1b7b2,easy
7d1f7ee8,easy
af24b4cc,easy
963f59bc,easy
d37a1ef5,easy
358ba94e,easy
c3202e5a,easy
2753e76c,easy
f3cdc58f,easy
55059096,easy
845d6e51,easy
3b4c2228,easy
c7d4e6ad,easy
e7dd8335,easy
94be5b80,easy
bf89d739,easy
516b51b7,easy
c87289bb,easy
94414823,easy
dc2e9a9d,easy
e57337a4,easy
4aab4007,easy
4b6b68e5,easy
8a371977,easy
1c0d0a4b,easy
759f3fd3,easy
8dae5dfc,easy
a934301b,easy
4e469f39,easy
6df30ad6,easy
f5aa3634,easy
fc754716,easy
92e50de0,easy
31adaf00,easy
7d18a6fb,easy
551d5bf1,easy
73182012,easy
5ffb2104,easy
62ab2642,easy
42a15761,easy
68b67ca3,easy
903d1b4a,easy
642d658d,easy
00576224,easy
9b4c17c4,easy
21f83797,easy
0b17323b,easy
6ea4a07e,easy
a04b2602,easy
59341089,easy
e7a25a18,easy
e88171ec,easy
e9c9d9a1,easy
09c534e7,easy
88207623,easy
a406ac07,easy
c8b7cc0f,easy
ac0c5833,easy
d931c21c,easy
7c9b52a0,easy
95a58926,easy
a680ac02,easy
cad67732,easy
ef26cbf6,easy
f823c43c,easy
72a961c9,easy
e760a62e,easy
b7cb93ac,easy
3ee1011a,easy
50aad11f,easy
1d398264,easy
c64f1187,easy
fb791726,easy
8fbca751,easy
b7999b51,easy
3490cc26,easy
7ee1c6ea,easy
2b01abd0,easy
aa4ec2a5,easy
b7fb29bc,easy
f0df5ff0,easy
414297c0,easy
58743b76,easy
6f473927,easy
c074846d,easy
2072aba6,easy
319f2597,easy
84f2aca1,easy
cf133acc,easy
009d5c81,easy
2f0c5170,easy
c6e1b8da,easy
e4075551,easy
917bccba,easy
e66aafb8,easy
f83cb3f6,easy
0becf7df,easy
62b74c02,easy
642248e4,easy
477d2879,easy
137f0df0,easy
93b4f4b3,easy
f21745ec,easy
29700607,easy
b0f4d537,easy
e9ac8c9e,easy
1a2e2828,easy
52fd389e,easy
770cc55f,easy
782b5218,easy
712bf12e,easy
d304284e,easy
f0afb749,easy
3a301edc,easy
e681b708,easy
3391f8c0,easy
e74e1818,easy
070dd51e,easy
50a16a69,easy
0607ce86,easy
1c02dbbe,easy
9c1e755f,medium
ac3e2b04,medium
0bb8deee,medium
762cd429,medium
e7639916,medium
42918530,medium
ca8de6ea,medium
e1d2900e,medium
5289ad53,medium
8ee62060,medium
aee291af,medium
2697da3f,medium
351d6448,medium
7bb29440,medium
97239e3d,medium
bcb3040b,medium
f3e62deb,medium
54db823b,medium
64a7c07e,medium
e95e3d8e,medium
99306f82,medium
e0fb7511,medium
ae58858e,medium
992798f6,medium
9a4bb226,medium
15113be4,medium
93c31fbe,medium
9f27f097,medium
e9b4f6fc,medium
20818e16,medium
be03b35f,medium
03560426,medium
bbb1b8b6,medium
27a77e38,medium
9bebae7a,medium
281123b4,medium
3f23242b,medium
626c0bcc,medium
896d5239,medium
9ddd00f0,medium
e69241bd,medium
fd096ab6,medium
fe9372f3,medium
69889d6e,medium
df8cc377,medium
e619ca6e,medium
184a9768,medium
de493100,medium
0a2355a6,medium
15663ba9,medium
256b0a75,medium
7039b2d7,medium
7c8af763,medium
f4081712,medium
4e45f183,medium
aa18de87,medium
b457fec5,medium
b9630600,medium
e21a174a,medium
e633a9e5,medium
0c786b71,medium
0d87d2a6,medium
d2acf2cb,medium
0e671a1a,medium
140c817e,medium
baf41dbf,medium
2c0b0aff,medium
20981f0e,medium
12997ef3,medium
ed74f2f2,medium
1d0a4b61,medium
981571dc,medium
b1fc8b8e,medium
bd14c3bf,medium
6ad5bdfd,medium
17b80ad2,medium
12422b43,medium
6a11f6da,medium
11e1fe23,medium
a59b95c0,medium
456873bc,medium
15696249,medium
25094a63,medium
9c56f360,medium
a3f84088,medium
c658a4bd,medium
e133d23d,medium
ecaa0ec1,medium
e872b94a,medium
73ccf9c2,medium
4acc7107,medium
639f5a19,medium
1a6449f1,medium
16b78196,medium
2c737e39,medium
60a26a3e,medium
9b365c51,medium
ac2e8ecf,medium
e5790162,medium
9772c176,medium
d282b262,medium
d47aa2ff,medium
d56f2372,medium
2685904e,medium
9356391f,medium
d492a647,medium
e345f17b,medium
60c09cac,medium
695367ec,medium
5207a7b5,medium
c62e2108,medium
e9bb6954,medium
22a4bbc2,medium
b20f7c8b,medium
c97c0139,medium
8ba14f53,medium
5b6cbef5,medium
a096bf4d,medium
ff72ca3e,medium
9b2a60aa,medium
e41c6fd3,medium
40f6cd08,medium
505fff84,medium
96a8c0cd,medium
bb52a14b,medium
d94c3b52,medium
f9d67f8b,medium
5af49b42,medium
72207abc,medium
4c177718,medium
67b4a34d,medium
7e02026e,medium
48131b3c,medium
af22c60d,medium
ce8d95cc,medium
d017b73f,medium
0f63c0b9,medium
103eff5b,medium
13713586,medium
17cae0c1,medium
18419cfa,medium
212895b5,medium
32e9702f,medium
cb227835,medium
d4b1c2b1,medium
f8be4b64,medium
4852f2fa,medium
dd2401ed,medium
9caba7c3,medium
e5c44e8f,hard
604001fa,hard
1e81d6f9,hard
e78887d1,hard
4364c1c4,hard
14754a24,hard
c1990cce,hard
85fa5666,hard
a57f2f04,hard
9def23fe,hard
c35c1b4c,hard
506d28a5,hard
79369cc6,hard
c48954c1,hard
cfb2ce5a,hard
2037f2c7,hard
85b81ff1,hard
55783887,hard
696d4842,hard
da515329,hard
d5c634a2,hard
bc4146bd,hard
ac605cbb,hard
27f8ce4f,hard
2a5f8217,hard
bf32578f,hard
817e6c09,hard
ccd554ac,hard
fd4b2b02,hard
195ba7dc,hard
73c3b0d8,hard
f3b10344,hard
48f8583b,hard
c663677b,hard
e7b06bea,hard
12eac192,hard
423a55dc,hard
aab50785,hard
66f2d22f,hard
0692e18c,hard
c92b942c,hard
3ed85e70,hard
84db8fc4,hard
8b28cd80,hard
ce039d91,hard
d19f7514,hard
dc2aa30b,hard
b7f8a4d8,hard
ed98d772,hard
f5c89df1,hard
b0722778,hard
37d3e8b2,hard
50f325b5,hard
08573cc6,hard
310f3251,hard
7d419a02,hard
3d31c5b3,hard
7953d61e,hard
8e2edd66,hard
b942fd60,hard
929ab4e9,hard
94133066,hard
136b0064,hard
90347967,hard
5d2a5c43,hard
e99362f0,expert
1acc24af,expert
f9a67cb5,expert
ad7e01d0,expert
ea9794b1,expert
58e15b12,expert
891232d6,expert
5833af48,expert
4ff4c9da,expert
5b692c0f,expert
e2092e0c,expert
0934a4d8,expert
47996f11,expert
0c9aba6e,expert
34b99a2b,expert
1c56ad9f,expert
e6de6e8f,expert
fea12743,expert
31d5ba1a,expert
79fb03f4,expert
8719f442,expert
a8610ef7,expert
b4a43f3b,expert
